date,year,month,country,avg_temp_c,avg_temp_f,country_factor,season_factor,winter_demand,summer_demand,total_demand,inventory,sales,lost_sales,excess_inventory
2004-06-01,2004,6,United States,22.14632685,71.8634,1,1.2,0,0,0,0,0,0,0
2004-07-01,2004,7,United States,24.30053696,75.741,1,1.35,0,0,0,0,0,0,0
2004-08-01,2004,8,United States,23.36333852,74.054,1,1.25,0,0,0,0,0,0,0
2004-09-01,2004,9,United States,21.65598054,70.9808,1,0.8,334.1854,0,334.1854,426.3628,334.1854,0,92.1774
2004-10-01,2004,10,United States,16.05982101,60.9077,1,0.85,454.6649,0,454.6649,473.599,454.6649,0,18.9341
2004-11-01,2004,11,United States,10.60844358,51.0952,1,1,414.7276,0,414.7276,430.9052,414.7276,0,16.1776
2004-12-01,2004,12,United States,6.001712062,42.8031,1,1.4,684.4908,0,684.4908,740.3072,684.4908,0,55.8164
2005-01-01,2005,1,United States,5.496404669,41.8935,1,1.3,594.8633,0,594.8633,668.6046,594.8633,0,73.7413
2005-02-01,2005,2,United States,7.217961089,44.9923,1,1.25,609.633,0,609.633,592.1399,592.1399,0,0
2005-03-01,2005,3,United States,9.230953307,48.6157,1,0.8,0,0,0,0,0,0,0
2005-04-01,2005,4,United States,13.8304786,56.8949,1,0.7,0,0,0,0,0,0,0
2005-05-01,2005,5,United States,17.76801556,63.9824,1,0.75,0,0,0,0,0,0,0
2005-06-01,2005,6,United States,22.59657588,72.6738,1,1.2,0,0,0,0,0,0,0
2005-07-01,2005,7,United States,25.52962257,77.9533,1,1.35,0,0,0,0,0,0,0
2005-08-01,2005,8,United States,24.93761089,76.8877,1,1.25,0,0,0,0,0,0,0
2005-09-01,2005,9,United States,22.08332296,71.75,1,0.8,321.6734,0,321.6734,369.9017,321.6734,0,48.2283
2005-10-01,2005,10,United States,16.14931128,61.0688,1,0.85,400.8078,0,400.8078,411.0727,400.8078,0,10.2649
2005-11-01,2005,11,United States,11.72408171,53.1033,1,1,520.6178,0,520.6178,488.1664,488.1664,0,0
2005-12-01,2005,12,United States,5.386155642,41.6951,1,1.4,680.2463,0,680.2463,764.1287,680.2463,0,83.8824
2006-01-01,2006,1,United States,7.791031128,46.0239,1,1.3,622.6195,0,622.6195,624.4973,622.6195,0,1.8778
2006-02-01,2006,2,United States,6.493723735,43.6887,1,1.25,579.3928,0,579.3928,657.6441,579.3928,0,78.2513
2006-03-01,2006,3,United States,9.36240856,48.8523,1,0.8,0,0,0,0,0,0,0
2006-04-01,2006,4,United States,14.96849416,58.9433,1,0.7,0,0,0,0,0,0,0
2006-05-01,2006,5,United States,18.94038132,66.0927,1,0.75,0,0,0,0,0,0,0
2006-06-01,2006,6,United States,23.29515564,73.9313,1,1.2,0,0,0,0,0,0,0
2006-07-01,2006,7,United States,26.04798444,78.8864,1,1.35,0,0,0,0,0,0,0
2006-08-01,2006,8,United States,24.73636965,76.5255,1,1.25,0,0,0,0,0,0,0
2006-09-01,2006,9,United States,20.47006226,68.8461,1,0.8,330.7006,0,330.7006,362.0725,330.7006,0,31.3719
2006-10-01,2006,10,United States,15.04605837,59.0829,1,0.85,285.3422,0,285.3422,293.7887,285.3422,0,8.4465
2006-11-01,2006,11,United States,11.3618249,52.4513,1,1,466.0859,0,466.0859,400.9159,400.9159,0,0
2006-12-01,2006,12,United States,7.399011673,45.3182,1,1.4,696.9399,0,696.9399,731.6454,696.9399,0,34.7055
2007-01-01,2007,1,United States,4.912832685,40.8431,1,1.3,581.2337,0,581.2337,651.4863,581.2337,0,70.2526
2007-02-01,2007,2,United States,4.776774319,40.5982,1,1.25,574.1799,0,574.1799,609.1883,574.1799,0,35.0084
2007-03-01,2007,3,United States,11.87571206,53.3763,1,0.8,0,0,0,0,0,0,0
2007-04-01,2007,4,United States,13.22468093,55.8044,1,0.7,0,0,0,0,0,0,0
2007-05-01,2007,5,United States,19.07032685,66.3266,1,0.75,0,0,0,0,0,0,0
2007-06-01,2007,6,United States,22.70896109,72.8761,1,1.2,0,0,0,0,0,0,0
2007-07-01,2007,7,United States,24.59001167,76.262,1,1.35,0,0,0,0,0,0,0
2007-08-01,2007,8,United States,25.41458755,77.7463,1,1.25,0,0,0,0,0,0,0
2007-09-01,2007,9,United States,21.71187938,71.0814,1,0.8,302.3179,0,302.3179,315.9629,302.3179,0,13.645
2007-10-01,2007,10,United States,17.23064591,63.0152,1,0.85,333.9125,0,333.9125,386.4844,333.9125,0,52.5719
2007-11-01,2007,11,United States,11.01030739,51.8186,1,1,452.4134,0,452.4134,477.5106,452.4134,0,25.0972
2007-12-01,2007,12,United States,5.78544358,42.4138,1,1.4,678.6658,0,678.6658,721.8559,678.6658,0,43.1901
2008-01-01,2008,1,United States,4.44851751,40.0073,1,1.3,679.5413,0,679.5413,770.4189,679.5413,0,90.8776
2008-02-01,2008,2,United States,6.337634241,43.4077,1,1.25,733.1927,0,733.1927,746.9523,733.1927,0,13.7596
2008-03-01,2008,3,United States,9.771315175,49.5884,1,0.8,0,0,0,0,0,0,0
2008-04-01,2008,4,United States,13.89570039,57.0123,1,0.7,0,0,0,0,0,0,0
2008-05-01,2008,5,United States,17.74103891,63.9339,1,0.75,0,0,0,0,0,0,0
2008-06-01,2008,6,United States,23.38537743,74.0937,1,1.2,0,0,0,0,0,0,0
2008-07-01,2008,7,United States,24.90620233,76.8312,1,1.35,0,0,0,0,0,0,0
2008-08-01,2008,8,United States,24.1660856,75.499,1,1.25,0,0,0,0,0,0,0
2008-09-01,2008,9,United States,21.57509728,70.8352,1,0.8,272.7533,0,272.7533,288.6575,272.7533,0,15.9043
2008-10-01,2008,10,United States,15.81516342,60.4673,1,0.85,301.8967,0,301.8967,348.1765,301.8967,0,46.2798
2008-11-01,2008,11,United States,10.78258755,51.4087,1,1,525.9431,0,525.9431,578.0427,525.9431,0,52.0996
2008-12-01,2008,12,United States,5.43011284,41.7742,1,1.4,603.6678,0,603.6678,661.6064,603.6678,0,57.9385
2009-01-01,2009,1,United States,4.442949416,39.9973,1,1.3,649.453,0,649.453,721.9965,649.453,0,72.5435
2009-02-01,2009,2,United States,6.873867704,44.373,1,1.25,528.1234,0,528.1234,573.9101,528.1234,0,45.7867
2009-03-01,2009,3,United States,10.06728016,50.1211,1,0.8,0,0,0,0,0,0,0
2009-04-01,2009,4,United States,13.71674319,56.6901,1,0.7,0,0,0,0,0,0,0
2009-05-01,2009,5,United States,19.16918288,66.5045,1,0.75,0,0,0,0,0,0,0
2009-06-01,2009,6,United States,22.16713619,71.9008,1,1.2,0,0,0,0,0,0,0
2009-07-01,2009,7,United States,24.36647082,75.8596,1,1.35,0,0,0,0,0,0,0
2009-08-01,2009,8,United States,24.32293774,75.7813,1,1.25,0,0,0,0,0,0,0
2009-09-01,2009,9,United States,21.62698054,70.9286,1,0.8,289.2009,0,289.2009,309.0569,289.2009,0,19.856
2009-10-01,2009,10,United States,14.55892218,58.2061,1,0.85,350.778,0,350.778,382.1117,350.778,0,31.3337
2009-11-01,2009,11,United States,11.74099222,53.1338,1,1,406.1178,0,406.1178,457.2328,406.1178,0,51.115
2009-12-01,2009,12,United States,4.58844358,40.2592,1,1.4,708.508,0,708.508,737.1288,708.508,0,28.6208
2010-01-01,2010,1,United States,4.106980545,39.3926,1,1.3,698.0246,0,698.0246,659.6994,659.6994,0,0
2010-02-01,2010,2,United States,4.733856031,40.5209,1,1.25,559.0878,0,559.0878,697.3485,559.0878,0,138.2608
2010-03-01,2010,3,United States,9.945575875,49.902,1,0.8,0,0,0,0,0,0,0
2010-04-01,2010,4,United States,14.35597276,57.8408,1,0.7,0,0,0,0,0,0,0
2010-05-01,2010,5,United States,18.38416732,65.0915,1,0.75,0,0,0,0,0,0,0
2010-06-01,2010,6,United States,23.41208171,74.1417,1,1.2,0,0,0,0,0,0,0
2010-07-01,2010,7,United States,25.27209728,77.4898,1,1.35,0,0,0,0,0,0,0
2010-08-01,2010,8,United States,24.96217899,76.9319,1,1.25,0,0,0,0,0,0,0
2010-09-01,2010,9,United States,22.05364981,71.6966,1,0.8,231.7988,0,231.7988,239.235,231.7988,0,7.4362
2010-10-01,2010,10,United States,16.20610506,61.171,1,0.85,352.6736,0,352.6736,382.156,352.6736,0,29.4824
2010-11-01,2010,11,United States,10.35914397,50.6465,1,1,542.22,0,542.22,616.7317,542.22,0,74.5117
2010-12-01,2010,12,United States,4.814727626,40.6665,1,1.4,707.0546,0,707.0546,775.9734,707.0546,0,68.9189
2011-01-01,2011,1,United States,3.859396887,38.9469,1,1.3,622.5383,0,622.5383,724.681,622.5383,0,102.1427
2011-02-01,2011,2,United States,5.624354086,42.1238,1,1.25,622.9734,0,622.9734,662.2239,622.9734,0,39.2506
2011-03-01,2011,3,United States,10.16325681,50.2939,1,0.8,0,0,0,0,0,0,0
2011-04-01,2011,4,United States,14.52702335,58.1486,1,0.7,0,0,0,0,0,0,0
2011-05-01,2011,5,United States,17.82941634,64.0929,1,0.75,0,0,0,0,0,0,0
2011-06-01,2011,6,United States,22.82256031,73.0806,1,1.2,0,0,0,0,0,0,0
2011-07-01,2011,7,United States,25.80458755,78.4483,1,1.35,0,0,0,0,0,0,0
2011-08-01,2011,8,United States,25.28984436,77.5217,1,1.25,0,0,0,0,0,0,0
2011-09-01,2011,9,United States,21.66727626,71.0011,1,0.8,312.3665,0,312.3665,356.5965,312.3665,0,44.23
2011-10-01,2011,10,United States,16.01406226,60.8253,1,0.85,404.3748,0,404.3748,513.8862,404.3748,0,109.5114
2011-11-01,2011,11,United States,10.93492607,51.6829,1,1,402.043,0,402.043,446.2821,402.043,0,44.2391
2011-12-01,2011,12,United States,6.675385214,44.0157,1,1.4,568.7971,0,568.7971,631.4691,568.7971,0,62.672
2012-01-01,2012,1,United States,6.797373541,44.2353,1,1.3,602.5834,0,602.5834,668.7582,602.5834,0,66.1748
2012-02-01,2012,2,United States,7.704964981,45.8689,1,1.25,582.0239,0,582.0239,625.6864,582.0239,0,43.6624
2012-03-01,2012,3,United States,13.02377043,55.4428,1,0.8,0,0,0,0,0,0,0
2012-04-01,2012,4,United States,14.9244358,58.864,1,0.7,0,0,0,0,0,0,0
2012-05-01,2012,5,United States,19.9586965,67.9257,1,0.75,0,0,0,0,0,0,0
2012-06-01,2012,6,United States,22.81495331,73.0669,1,1.2,0,0,0,0,0,0,0
2012-07-01,2012,7,United States,25.67382879,78.2129,1,1.35,0,0,0,0,0,0,0
2012-08-01,2012,8,United States,25.03177432,77.0572,1,1.25,0,0,0,0,0,0,0
2012-09-01,2012,9,United States,21.75672763,71.1621,1,0.8,391.9555,0,391.9555,442.1203,391.9555,0,50.1648
2012-10-01,2012,10,United States,15.99422568,60.7896,1,0.85,327.1218,0,327.1218,349.6858,327.1218,0,22.564
2012-11-01,2012,11,United States,10.60811673,51.0946,1,1,474.7494,0,474.7494,554.0248,474.7494,0,79.2754
2012-12-01,2012,12,United States,7.22229572,45.0001,1,1.4,672.8463,0,672.8463,747.5974,672.8463,0,74.7511
2013-01-01,2013,1,United States,5.430404669,41.7747,1,1.3,606.0669,0,606.0669,649.8091,606.0669,0,43.7422
2013-02-01,2013,2,United States,5.965638132,42.7381,1,1.25,614.1915,0,614.1915,689.8755,614.1915,0,75.684
2013-03-01,2013,3,United States,9.071175097,48.3281,1,0.8,0,0,0,0,0,0,0
2013-04-01,2013,4,United States,13.75025681,56.7505,1,0.7,0,0,0,0,0,0,0
2013-05-01,2013,5,United States,18.64337743,65.5581,1,0.75,0,0,0,0,0,0,0
2013-06-01,2013,6,United States,23.22632296,73.8074,1,1.2,0,0,0,0,0,0,0
2013-07-01,2013,7,United States,24.92505447,76.8651,1,1.35,0,0,0,0,0,0,0
2013-08-01,2013,8,United States,24.1072607,75.3931,1,1.25,0,0,0,0,0,0,0
2013-09-01,2013,9,United States,22.33917188,72.2105,1,0.8,326.4982,0,326.4982,364.3198,326.4982,0,37.8216
