forecast_date,forecast_temp_c,forecast_winter_demand,forecast_summer_demand,forecast_inventory,sales,lost_sales,excess_inventory
2025-01-01,-5.89,585,0,630,585,0,45
2025-02-01,-6.072,521,0,532,521,0,10
2025-03-01,-1.905,0,0,0,0,0,0
2025-04-01,5.516,0,0,0,0,0,0
2025-05-01,11.876,0,8,8,8,0,1
2025-06-01,17.061,0,22,26,22,0,4
2025-07-01,19.371,0,104,116,104,0,12
2025-08-01,19.392,0,27,31,27,0,4
2025-09-01,15.142,153,0,167,153,0,14
2025-10-01,7.915,190,0,200,190,0,10
2025-11-01,2.678,301,0,324,301,0,23
2025-12-01,-4.294,578,0,623,578,0,46
2026-01-01,-5.854,582,0,653,582,0,71
2026-02-01,-6.037,518,0,645,518,0,126
2026-03-01,-1.869,0,0,0,0,0,0
2026-04-01,5.551,0,0,0,0,0,0
2026-05-01,11.912,0,6,6,6,0,0
2026-06-01,17.096,0,20,22,20,0,2
2026-07-01,19.407,0,102,106,102,0,4
2026-08-01,19.428,0,25,29,25,0,4
